"date","tavg_cincy","tmin_cincy","tmax_cincy","prcp_cincy","snow_cincy","wspd_cincy","pres_cincy","tavg_columbus","tmin_columbus","tmax_columbus","wspd_columbus","pres_columbus","prcp_columbus","tavg_cleveland","tmin_cleveland","tmax_cleveland","prcp_cleveland","snow_cleveland","wspd_cleveland","pres_cleveland"
2021-05-08,9.6,2.5,15.9,0.3,0,10.4,1018.2,7.9,2.9,11.9,11.5,1018.1,2.2,8.5,6.6,10.5,0.5,0,21.5,1016.5
2021-05-09,12.4,6.4,19.2,16.5,0,24.1,1009.4,8.2,5.9,16.9,14.8,1011.2,22.8,6.8,3.2,8.8,28.7,0,17.2,1014.3
2021-05-10,9.4,3.6,17.5,0,0,8.3,1018.8,8.4,2.9,14.9,7.7,1019,0,10.1,6.6,12.7,0,0,15.4,1017.9
2021-05-11,11.8,6.4,16.4,0,0,14.4,1023.3,8.6,4.9,12.9,9.8,1023.7,0,9.8,7.7,11.6,0,0,20,1022.6
2021-05-12,12,6.4,18.1,0,0,15.5,1027.3,9.1,0.9,15.9,11,1027.6,0,11.2,9.3,13.8,0,0,13.8,1028
2021-05-13,13.6,5.9,19.7,0,0,9.4,1027.3,10.2,1.9,17.9,9.5,1027.6,0,12.5,7.1,16,0,0,7.2,1027.9
2021-05-14,15,7,22.5,0,0,5,1025.9,11.1,1.9,19.9,6.2,1026.3,0,14,8.2,17.7,0,0,7.8,1025.8
2021-05-15,15.6,7.5,22.5,0,0,6.1,1023.9,13.1,2.9,21.9,5.9,1024.7,0,15.9,10.5,20.5,0,0,10.5,1024
2021-05-16,17.6,13.6,21.4,0,0,7.9,1022.1,16.1,11.9,21.9,6.7,1023.2,0,17.4,15.5,19.3,0,0,10.2,1023.3
2021-05-17,16.4,13.6,19.7,38.9,0,15.5,1022.2,13.1,10.9,14.9,6.9,1024.2,10.2,17.8,13.8,22.7,0,0,11.8,1023.7
2021-05-18,19.1,15.3,26.4,0,0,14.4,1023.8,17.5,10.9,24.9,6.8,1025.5,0.3,17.6,13.8,19.9,0,0,12,1025.8
2021-05-19,22.1,16.4,27.5,0,0,9,1024.4,19.7,10.9,27.9,8.1,1025.9,0.2,21,16.6,29.3,0,0,13.1,1025.6
2021-05-20,24.1,15.3,29.7,0,0,10.4,1025.4,20.7,13.9,28.9,9.9,1027.1,0,23,20.5,28.8,0,0,12.3,1026.4
2021-05-21,24.1,18.1,29.2,0,0,9,1028.5,21.4,12.9,27.9,7.9,1030,0,24.5,20.5,28.8,0,0,13,1028.3
2021-05-22,23.6,15.3,29.7,0,0,5,1027.6,21.1,12.9,27.9,7.8,1028.3,0,23.7,21.6,26.6,0,0,12.2,1025.9
2021-05-23,23.3,15.3,30.3,0,0,6.8,1022.7,23.3,15.9,29.9,11.8,1022.5,0,22.9,18.2,25.5,1,0,16.6,1020
2021-05-24,25.1,18.1,31.4,0,0,6.8,1020.3,23,17.9,29.9,6.6,1021.1,0.3,18.9,16,22.1,0.5,0,8.9,1020.9
2021-05-25,25.1,18.6,31.4,0,0,10.1,1019.2,24.1,16.9,30.9,10,1020.2,0,26.8,21,31.6,0,0,16.7,1017.2
2021-05-26,23,19.2,27,10.7,0,13,1017.4,21.6,18.9,28.9,11.6,1018,3.7,23.3,18.8,28.2,5.1,0,19.3,1014.4
2021-05-27,21.8,17.5,27.5,0,0,6.8,1017.1,20,13.9,25.9,6.7,1018.2,0.1,15.6,13.2,17.7,0,0,17.6,1019.9
2021-05-28,20.5,9.7,23.1,7.9,0,15.8,1009.4,16.2,8.9,20.9,14,1010.3,14.5,12.1,8.8,16.6,24.6,0,28,1012.8
2021-05-29,10.6,9.2,13.6,0,0,18.4,1016.6,9.3,7.9,10.9,14.1,1016.4,0,11.2,8.8,13.8,0,0,33.2,1017.6
2021-05-30,12.2,6.4,17.5,0,0,11.2,1023.4,11.9,8.9,15.9,9.9,1023,0,14.1,11.6,17.7,0,0,16.1,1023.4
2021-05-31,14.8,7.5,23.6,0,0,6.5,1025.2,14.5,5.9,20.9,5.7,1025.8,0,15.8,9.9,19.3,0,0,7.5,1025.4
2021-06-01,19.4,14.7,24.2,0.8,0,6.1,1022.1,16.9,9.9,22.9,6.3,1023.3,0,19.3,16.6,21.6,0,0,9.2,1023
2021-06-02,18.3,16.4,19.7,14.2,0,12.2,1016.4,17.4,15.9,19.9,8.5,1018.5,17.3,18.4,17.1,21,9.1,0,10.1,1018.6
2021-06-03,19.4,15.9,22.5,8.1,0,10.4,1012.6,17.7,15.9,19.9,8.6,1013.9,8.9,19.3,18.2,20.5,4.3,0,9.8,1012.2
2021-06-04,21.2,14.7,30.3,0,0,8.6,1015.8,20.9,14.9,27.9,9.8,1016,0,22.8,17.7,28.8,0,0,14.4,1012.5
2021-06-05,23.4,15.9,29.7,0,0,8.6,1016.2,22.5,15.9,28.9,8.4,1017.2,0,25.9,22.1,30.5,0,0,19.5,1014.1
2021-06-06,23.6,17.5,28.6,0.8,0,8.3,1016.5,22.8,15.9,28.9,7.4,1017.9,0.1,26.7,22.7,29.9,0,0,12.2,1015.5
2021-06-07,23.7,20.9,28.1,26.7,0,13,1016.1,22.4,19.9,25.9,9.3,1017.8,3.5,26.3,22.1,29.3,9.7,0,13,1016
